,EVID,ev_lat,ev_lon,ev_dep
0,0,36.3458213806,-115.327026367,14.6287593842
3,1,44.2820358276,-116.395469666,17.2521781921
8,2,42.9528274536,-112.315437317,17.2397060394
15,3,40.4036712646,-112.453926086,16.6374397278
17,4,41.0308837891,-110.90687561,17.1034660339
25,5,42.7217712402,-116.862594604,37.8530044556
27,6,42.5236968994,-113.389755249,39.1611022949
29,7,38.6845703125,-116.04069519,14.7470474243
43,8,40.4690093994,-112.663146973,16.5685482025
45,9,37.559967041,-117.440597534,14.9488735199
46,10,37.9438858032,-113.321044922,15.9784536362
49,11,44.6907577515,-114.918228149,40.0727882385
52,12,41.3164596558,-120.341796875,16.1437911987
69,13,38.70079422,-116.489051819,15.1859302521
70,14,43.5037689209,-114.659255981,40.2917175293
72,15,37.2606315613,-113.155593872,16.1170310974
74,16,45.2789154053,-113.888549805,17.9334030151
82,17,38.0318908691,-120.320625305,15.0126743317
94,18,35.8228759766,-116.571891785,14.5386037827
96,19,45.7501296997,-117.342948914,17.0896587372
101,20,39.5341491699,-117.065841675,15.5143470764
103,21,47.123336792,-112.421867371,18.0575790405
110,22,39.4490013123,-120.349441528,15.6264781952
112,23,35.5727386475,-118.677474976,14.0169620514
117,24,41.9515113831,-116.864356995,16.5547161102
122,25,43.9683761597,-113.444274902,17.9475688934
125,26,37.2265434265,-115.550186157,14.6523799896
128,27,43.8297271729,-119.759086609,17.2024688721
